,Unnamed: 0,building_address,location,latitude,longitude
3034,5856,Strandlodsvej 123 København S,"123, Strandlodsvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.657961,12.627626
3035,5858,H. Schneekloths Vej 9 Frederiksberg,"9, H. Schneekloths Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.67965,12.506775
3036,5861,Amager Boulevard 134 København S,"134, Amager Boulevard, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.665291,12.59925
3037,5862,Dronningens Tværgade 38 København K,"38, Dronningens Tværgade, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 1302, Danmark",55.684729000000004,12.585416
3038,5864,Nebbegårdsbakken 29 København NV,,,
3039,5865,Lundehusvej 6C København Ø,"6C, Lundehusvej, Emdrup, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.722269,12.551156
3040,5866,Pæonvej 55 København S,"55, Pæonvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.646818999999994,12.606328
3041,5868,Julius Bloms Gade 7 København N,"7, Julius Bloms Gade, Nørrebrogade Kronborggade jagtvej, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.693211,12.546375999999999
3042,5869,Prags Boulevard 46 København S,"46, Prags Boulevard, Margretheholm, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.666920999999995,12.611464999999999
3043,5870,Svanemøllevej 46 København Ø,"46, Svanemøllevej, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.721092000000006,12.575244
3044,5874,Weysesgade 53 København Ø,"53, Weysesgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.715228,12.575168
3045,5875,Drosselvej 21 Frederiksberg,"21, Drosselvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.689797999999996,12.523717999999999
3046,5876,Rosenvængets Allé 39B København Ø,"39B, Rosenvængets Allé, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.70031899999999,12.584521
3047,5877,Tønnesvej 14 København S,"14, Tønnesvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.645331000000006,12.618565
3048,5880,Grønrisvej 8 København SV,,,
3049,5883,Niels W. Gades Gade 30 København Ø,"30, Niels W. Gades Gade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.714252,12.574458
3050,5884,Harespringet 26 København NV,,,
3051,5885,Arabiensvej 37 København S,"37, Arabiensvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.649448,12.625613000000001
3052,5886,Marielystvej 14 Frederiksberg,"Marielystvej, Frederiksberg Kommune, Region Hovedstaden, 2500, Danmark",55.6739884,12.4999896
3053,5888,Jansvej 46 København S,"46, Jansvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.642726,12.618654
3054,5891,Husumgade 10 København N,"10, Husumgade, Nørrebrogade Kronborggade jagtvej, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.693071999999994,12.546008
3055,5892,Solsortvej 81 Frederiksberg,"81, Solsortvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.692797999999996,12.524452
3056,5893,Nørrebrogade 229 København N,"229, Nørrebrogade, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.699775,12.54035
3057,5894,Kroghsgade 6 København Ø,"6, Kroghsgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.696652,12.574603999999999
3058,5895,Stenlandsvej 19 København S,"19, Stenlandsvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.641538,12.595557000000001
3059,5897,Glahns Alle 15 Frederiksberg,,,
3060,5908,Strandgade 44A København K,"44A, Strandgade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1401, Danmark",55.674983,12.591605
